text,class,topic
"I love the way levels challenge you and each one made me laugh)))
3D levels are a little too tough, you slide from the edges way too easily.",1,balance
"But overall, I think the game is ingenious!",1,gameplay
"Good job, developers and keep it up!",0,
Very Fun and challenging puzzle game that i hate.,1,puzzles
i could not reccomend it more.,0,
"Granted, the controls are crap.",-1,controls
I wouldn't say this game is strictly a logic game - I'd rather call it a time killer.,0,
"Althought there are levels that require some thinking, most of them are trivial and based rather on guessing what the author meant instead of real challenge.",-1,puzzles
Some levels were fun and this game isn't a bad way to spend one evening or two.,1,gameplay
"And for so low price I wouldn't expect much more, so I give it a positive review :).",1,price
A mix of very special riddles.,1,puzzles
Hard to learn character movement and there are some mean decisions from the developer to annoy you.,-1,controls
It opens your mind to think more freely.,1,puzzles
Chiptune music in this title is gorgeous as f. Had a great time with this game and awaiting a sequel.,1,sound
Very fast paced and entertaining!,1,fun
You`ll spend some good hours and give good laughs between the puzzles!,1,puzzles
I definitely like the challenges and the soundtrack...,1,sound
"You know, it turns out that I actually don't hate this game.",0,
"So, if you're like me, you might have had the impression that you're going to end up hating this game becuase the trailer tries to make you think so.",0,
"Now, the character you play as might hate it, but if you're decently skilled at puzzle games then you're not likely going to hate it.",1,puzzles
"In fact, this is a game that I enjoyed very much.",1,fun
I Hate This Game is basically a puzzle game that only takes a decent amount of skill to solve most of the puzzles.,1,puzzles
"I enjoyed it very much becuase it mostly requires creative skill and doesn't require much skill, use of math, ect, and thinking outside of the box is one of my strong suits.",1,puzzles
"Aside from that, this game does require at least an internet connection, as some of the levels require you to do some simple tasks outside the game that can be easily done with a basic internet connection.",-1,accessibility
This is a game that is going to be one of my favorite puzzle games for a long time.,1,puzzles
I recommend this game to anyone looking for fun and moderately challenging puzzle game.,1,puzzles
"[b]Yes, but there's some just not fun parts[/b]...and you'll probably have to check the online guide.",-1,fun
"A COUPLE OF EXAMPLES OF WHAT'S NOT FUN:
[list][*]The Moon Phase level - Total GARBAGE with nothing to base it on...[spoiler]and ""5"" is a full moon while ""1"" is no moon on a scale from zero to ten?!?",-1,fun
That's not even good math!,0,
"[/spoiler]
[*]The website level FORCES you to load their website?",-1,fun
I certainly hope they keep the registration for it so no one puts a malicious website there one day.,0,
"To save you the risk: [spoiler]2-3-7-8-5-4-6-1[/spoiler]
[*]The level that FORCES you to minimize the game or toggle out of it is stupid, since many players are full screen and may not understand how to even do that!",0,
"[*]The level that forces you to go back into the settings menu to adjust the game is broken since even if you do that and you ""load"" the game again, it jumps you back into the same level!",-1,fun
"You have to manually select the next level, and a new player coming from level 1 playing the game will NOT see that as an obvious option.",-1,fun
"[*]The favorite phrase question has an obvious answer, but not being able to use spaces in a phrase does not makes sense!",0,
"[spoiler]the game should accept ""i hate this game"" WITH spaces!",0,
[/spoiler] I had to look at a guide to find that one for sure!,-1,fun
"[/list]
...and as of the writing of this article (30-40 minutes playtime plus almost five hours to idle the cards), I'm only have way through.",0,
"[h1]For the price, it's a good game, but has some significant flaws!",1,price
"[/h1]
I expect about 75 minutes of playtime based on the level count and the progress I've made to far.",0,
"Worth the $3 or So I paid for it, saw this on the yogscast and thought it would be a good game to play, and it turns out it was!",1,price
"Consider this to purchase, Some of the levels caused rage but others were cool and fun defently need some out of the game tools to play this but other than that I loved every minute of it including the rage because its so satsifying when you complete a difficult level!",1,fun
Best Cheap Game in Steam 10/10,1,price
I really enjoyed hating this game.,1,fun
Don't let the graphics fool you; this is still a good little brain teaser with some humor and great music.,1,sound
"There are 100 normal, 10 hard and 10 secret levels.",0,
You may need a guide for some of the hard and secret levels.,0,
+Great chiptune music,1,sound
+Clever and often think-outside-the-box/meta puzzles,1,puzzles
+Puzzle hints available if you get stuck,1,puzzles
+Good playtime for the price (even better when on sale),1,price
"~There are a few puzzles relying on knowledge of music, logic gates, programming and other games.",1,puzzles
"However, they're still intuitive enough to figure out.",0,
~A couple puzzles that relied on sound.,-1,fun
"I'm not sure how you'd complete them if you were deaf, since the patterns changed on reload.",-1,fun
"[h1]The Bad[/h1]
-Forced to use WASD movement, adding a lot of frustration to platforming for those that don't use it.",-1,controls
Some levels made me hate this game :3,0,
"Good:
The puzzle design is pretty clever.",1,puzzles
Tricky without needing to look up a walkthrough.,-1,fun
The soundtrack is excellent (If you like chiptune/8-bit).,1,sound
"Fun, engaging, bite-size gameplay.",1,fun
"Sometimes I played for a couple hours, sometimes five minutes.",1,playtime
Both were satisfying.,0,
"In most cases, when solving a puzzle is the main objective of a level, the movement is fine.",1,puzzles
But the level design of the platforming sections really requires Mega Man level tightness and it's just not there.,-1,controls
"You'll slip and slide off of blocks, end up stuck on the corner of a block unable to do anything but fall to your death, etc.",-1,controls
It's way more frustrating than the straight up puzzles.,-1,controls
"Overall:
I wholeheartedly recommend this game, without reservation, to anyone who generally likes this sort of thing.",0,
"The platforming is frustrating, but I don't think that should deter anyone from picking up a game this fun.",-1,controls
Especially at this price.,1,price
Extremely fun puzzles with a little sass which is always appreciated.,1,puzzles
Highly suggest snagging it up!,0,
"YOU hate this game because it hard
I hate this game because it ends
WE are not the same",0,
"Excelente juego que te hace pensar y reirte, ademas de tener buenas referencias 10/10",0,
SERIOUSLY WHO THOUGHT IT WAS A GREAT IDEA TO MAKE THIS GAME AS CHALLENGING AS POSSIBLE!,1,balance
YOU TOOK THREE HOURS OF MY PRECIOUS TIME!,1,playtime
HOW COULD YOU TRICK ME AND MAKE ME PLAY THIS TORTURE SIMULATOR!,0,
"Regardless of my painful pleasures, I was delighted to be a victim of this game.",0,
There were countless times where I had to restart the level to try it again over and over until I solved the puzzle with perfection.,1,puzzles
Some parts of the game had cruel jokes waiting for you.,1,humor
"As much as I hate this game, deep down, I love this game!",0,
The way your brain rewards you is one of the best parts about beating every section of this game.,0,
"In terms of quality, you can fully customize the player and background.",1,art
A few levels will require critical thinking skills to solve the logic puzzles.,1,puzzles
One of the best parts about this game is how each section has a different game mechanic that alters the player's movements and behavior.,1,gameplay
"The overall rating would be 11/10 based on length, difficulty, price, animation, and soundtrack.",1,sound
Everything was flawless and highly exceptional for any individual interested in 2D platformers.,1,gameplay
"With 100 levels, ten extra, and ten secret levels, you can easily spend hours trying to unlock all 16 achievements.",1,playtime
Fun Fact: This game will run on any PC smoothly!,1,optimization
Your fingers will feel like potatoes after playing this game nonstop!,1,fun
So much game for such a small price!,1,price
I hate... but love this game!,0,
lots of fun and keyboard smashing!,1,fun
"some levels are lame and boring,but ok overall.",-1,fun
Fun game with interesting mechanics and great soundtrack.,1,sound
In my opinion the game is too short and it is lack of challenging levels.,-1,playtime
There is also problem with feeling your character in terms of controlling him.,-1,controls
Honestly one of the best puzzle platformer games I played in years.,1,puzzles
There are 100 levels in the base game plus 10 extra complex and 10 secret levels.,0,
Each level consist of a different puzzle that you have to solve which makes each a different mini game.,1,puzzles
"The design for the puzzles speaks of great creativity and while I try to avoid spoilers, let me tell you, you have to do stuff to solve the puzzles that I never had to do in any other game I ever played.",1,puzzles
"Breaking the fourth wall with charm and ingenuity, the game kept me greatly entertained the ~3 hours it took me to get through the base levels.",1,humor
"While some jumping parts can be a bit frustrating, it was never to hard to keep me from giving it ""one more try"".",-1,controls
"The graphics are minimalist, but you can change the colors of your character and the fore- and background so you can play each level in a different color, if you want.",1,art
"If you are into chiptune like me, the soundtrack is great and can be purchased as DLC.",1,sound
"This game is a perfect example for me that a good game does not need fancy graphics nor a story, it just needs good gameplay and some decent ideas.",1,gameplay
"If you are into puzzles and don’t fear some challenging platform jumping, you should really check this game out.",1,puzzles
I love the title and hate the game.,0,
Surprisingly did not hate this game.,0,
"There were some levels I found difficult (as I'm not very skilled), but overall most of the levels were pretty simple and easy.",-1,balance
"The graphics are pretty simple, and I do like the fact you can change the colors of the game, made it a bit easier on my eyes.",1,art
"I wasn't fond of the music personally, it kinda reminded me of really annoying retro music that wouldn't stop (I just played the game on mute but there is an in-game option to turn off the music completely, which is great).",-1,sound
"Overall, a fun platform/puzzle type game that offered a good variety of puzzles to solve.",1,puzzles
"Was pretty interesting game, definitely recommend.",1,gameplay
i like how the puzzles works...,1,puzzles
i like this games and name,0,
"I hate this game , I hate this game",0,
I dont hate it actually.,0,
"I completed this great and very well made game

not recommended",0,
"""This looks like a game that will test my mental endurance""

*2 hours later*

""I take that back....this game was a waste of time"" *Opens up Baba Is You*",-1,fun
I... have confused feelings about this game.,0,
"Well, I love hating it!",0,
"Very fun and humorous puzzle game, although it is not too hard, the levels are quite clever",1,puzzles
A quirky puzzle game that gives the player a different experience with each level!,1,puzzles
"Some solutions come easy, while others ""require"" prior knowledge.",0,
(I put this in quotes because there is always a hint that gives you what you need to know in order to pass.,0,
"For instance, being able to read music or write basic coding would make those levels easier to complete, but they are not made impossible for someone who doesn't.)",-1,balance
"Overall, I felt that IHTG was more silly than challenging, but that didn't make it any less enjoyable to me.",-1,balance
